Num Nodes,Num Models,Num Requests,Stress Level,Alpha,Mean Latency,Median Latency,Min Latency,Max Latency,Standard Deviation,Warm,Cold,Download,Evict,50th Percentile,90th Percentile,95th Percentile,99th Percentile
20,10000,100000,1.0,1.1,3.04,3.54,0.05,5.19,1.69,23103,76897,0,0,3.54,4.86,5.08,5.19
20,10000,100000,1.0,1.6,0.94,0.19,0.05,5.19,1.58,79565,20435,0,0,0.19,4.09,4.86,5.19
20,10000,100000,1.0,2.2,0.48,0.24,0.05,5.19,0.98,92469,7531,0,0,0.24,0.29,3.21,4.97
20,10000,100000,1.0,4.0,0.33,0.23,0.08,5.19,0.63,97724,2276,0,0,0.23,0.23,0.24,4.53
20,10000,100000,10.0,0.0,6722.39,6680.17,0.05,13504.35,3909.45,2466,15569,22616,59349,6680.17,12167.25,12841.25,13364.36
20,10000,100000,10.0,1.1,3460.18,3461.97,0.05,6978.08,2018.85,34819,11707,14909,38565,3461.97,6259.63,6611.68,6893.66
20,10000,100000,10.0,1.6,0.56,0.26,0.05,34.19,1.11,91275,8715,10,0,0.26,0.29,3.87,4.97
20,10000,100000,10.0,2.2,0.25,0.12,0.05,5.19,0.6,97603,2397,0,0,0.12,0.29,0.29,4.31
20,10000,100000,10.0,4.0,0.13,0.11,0.05,14.21,0.25,99533,466,1,0,0.11,0.11,0.19,0.19
20,100000,1000,0.2,0.0,18.86,18.65,2.55,34.19,9.51,0,118,334,548,18.65,31.97,33.08,34.19
20,100000,1000,0.2,1.1,9.07,4.31,0.1,34.19,9.21,82,571,121,226,4.31,25.31,29.75,34.19
20,100000,1000,0.2,1.6,1.46,0.12,0.05,19.76,1.94,634,364,0,2,0.12,4.53,4.97,5.08
20,100000,1000,0.2,2.2,0.75,0.09,0.06,5.19,1.43,829,171,0,0,0.09,3.1,4.75,4.97
20,100000,1000,0.2,4.0,0.62,0.28,0.19,5.08,1.16,920,80,0,0,0.28,0.28,4.09,5.08
20,100000,1000,1.0,0.0,18.4,18.65,0.18,34.19,9.44,1,128,329,542,18.65,31.97,33.08,34.19
20,100000,1000,1.0,1.1,8.68,4.2,0.05,34.19,9.87,211,453,123,213,4.2,26.42,30.86,34.19
20,100000,1000,1.0,1.6,0.97,0.25,0.05,5.19,1.58,804,196,0,0,0.25,4.31,4.64,5.19
20,100000,1000,1.0,2.2,0.57,0.27,0.07,5.08,1.06,916,84,0,0,0.27,0.27,3.77,4.97
20,100000,1000,1.0,4.0,0.15,0.05,0.05,4.75,0.6,971,29,0,0,0.05,0.05,0.11,4.53
20,100000,1000,10.0,0.0,65.95,67.28,2.55,132.28,39.19,2,56,294,648,67.28,119.15,124.74,129.17
20,100000,1000,10.0,1.1,28.65,27.66,0.05,93.12,22.89,310,218,133,339,27.66,59.71,67.03,84.25
20,100000,1000,10.0,1.6,0.72,0.14,0.05,34.19,1.79,863,134,1,2,0.14,3.32,4.1,5.19
20,100000,1000,10.0,2.2,0.46,0.15,0.05,18.65,1.15,929,70,0,1,0.15,0.28,3.65,5.08
20,100000,1000,10.0,4.0,0.71,0.27,0.11,31.97,2.63,940,53,0,7,0.27,0.27,4.97,4.97
20,100000,100000,0.2,0.0,18.87,18.65,0.05,34.19,9.31,9,11707,33829,54455,18.65,31.97,33.08,34.19
20,100000,100000,0.2,1.1,9.18,4.64,0.05,34.19,9.56,10578,56235,12064,21123,4.64,26.42,30.86,34.19
20,100000,100000,0.2,1.6,1.62,0.24,0.05,34.19,2.12,63601,36161,69,169,0.24,4.64,4.97,5.08
20,100000,100000,0.2,2.2,0.74,0.11,0.05,7.55,1.39,82996,17003,0,1,0.11,3.65,4.2,4.64
20,100000,100000,0.2,4.0,0.47,0.18,0.06,5.08,1.08,93292,6708,0,0,0.18,0.18,3.98,4.97
20,100000,100000,1.0,0.0,18.81,18.65,0.05,34.19,9.29,66,11743,32842,55349,18.65,31.97,33.08,34.19
20,100000,100000,1.0,1.1,8.69,4.09,0.05,34.19,9.89,22451,44373,12488,20688,4.09,26.42,30.86,34.19
20,100000,100000,1.0,1.6,1.0,0.19,0.05,34.19,1.89,79741,20001,84,174,0.19,3.98,4.75,5.19
20,100000,100000,1.0,2.2,0.47,0.19,0.05,5.19,1.02,92426,7574,0,0,0.19,0.23,3.65,4.86
20,100000,100000,1.0,4.0,0.34,0.25,0.06,4.75,0.61,97723,2277,0,0,0.25,0.25,0.25,4.64
20,100000,100000,10.0,0.0,7100.74,7088.03,2.55,14273.92,4119.3,253,1697,27843,70207,7088.03,12808.72,13542.92,14119.23
20,100000,100000,10.0,1.1,3681.22,3670.74,0.06,7430.46,2147.39,33322,5330,17210,44138,3670.74,6675.95,7047.82,7337.98
20,100000,100000,10.0,1.6,0.54,0.18,0.05,34.19,1.49,91254,8514,79,153,0.18,0.27,3.76,4.97
