HashOwner,Total Invocation,15min_Alls_g,Ratio
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1439,159,0.11049339819318972
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,289,75,0.25951557093425603
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,161,0.11180555555555556
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,73,0.2534722222222222
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,156,0.10833333333333334
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,289,75,0.25951557093425603
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,159,0.11041666666666666
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,289,77,0.2664359861591695
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1444,163,0.1128808864265928
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,74,0.2569444444444444
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,2,2,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,161,0.11180555555555556
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,288,72,0.25
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1441,154,0.10687022900763359
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,177,79,0.4463276836158192
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,287,75,0.2613240418118467
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1440,161,0.11180555555555556
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,292,77,0.2636986301369863
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1,1,1.0
5814dddfef545eed845d9fd96a574e5e365e9626d68ef798d82eeaf00126416f,1449,162,0.11180124223602485
e691dde70b06974a0c9524570693dae5b5a9b13c99712bc9d77c7d26da80769e,1,1,1.0
e691dde70b06974a0c9524570693dae5b5a9b13c99712bc9d77c7d26da80769e,1,1,1.0
ae6046e1a9734d5506c891dc5ce59ed01ef7b31c7ed3393bae769eb35b5e6326,12,11,0.9166666666666666
a41ca91e9db62ac42815f07f18f2c0555565485f82c1703f31800ea335d689e6,144,72,0.5
a41ca91e9db62ac42815f07f18f2c0555565485f82c1703f31800ea335d689e6,1442,162,0.11234396671289876
