Profiling load_model_state_dict...
         230787 function calls (207449 primitive calls) in 10.540 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:598(_code)
        2    0.000    0.000    0.000    0.000 {function _load.<locals>.UnpicklerWrapper.find_class at 0x7f4e8016dca0}
      752    0.000    0.000    0.000    0.000 /usr/lib/python3.8/copy.py:182(_deepcopy_atomic)
        1    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/storage.py:1223(_get_dtype_from_pickle_storage_type)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/os.py:670(__getitem__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/urllib/parse.py:428(urlsplit)
       60    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/storage.py:416(_storage_type_to_dtype_map)
        1    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/utils/import_utils.py:1519(__getattr__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/json/__init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/pathlib.py:678(_from_parts)
        3    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/configuration_utils.py:401(num_labels)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/json/decoder.py:332(decode)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:252(__subclasshook__)
        3    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/modeling_utils.py:1531(can_generate)
        1    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/serialization.py:108(_is_zipfile)
        7    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/pathlib.py:658(_parse_args)
       26    0.000    0.000    0.000    0.000 /usr/lib/python3.8/copy.py:242(_keep_alive)
        1    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/utils/import_utils.py:1533(_get_module)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/storage.py:389(_dtype_to_storage_type_map)
       48    0.000    0.000    0.000    0.000 {function ClassInstantier.__getitem__ at 0x7f4e816721f0}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/typing.py:768(__instancecheck__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/json/decoder.py:343(raw_decode)
        1    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/utils/hub.py:266(cached_file)
        3    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/modeling_utils.py:1343(_backward_compatibility_gradient_checkpointing)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/typing.py:771(__subclasscheck__)
      3/1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:71(_compile)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/os.py:748(encode)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      201    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/serialization.py:427(__exit__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/genericpath.py:39(isdir)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/pathlib.py:64(parse_parts)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1436(info)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:72(_check_methods)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/posixpath.py:71(join)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1689(isEnabledFor)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/json/encoder.py:223(floatstr)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/pathlib.py:731(as_posix)
       24    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/packaging/version.py:205(<genexpr>)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/copy.py:66(copy)
        5    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/configuration_utils.py:378(name_or_path)
       16    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:254(get)
      4/2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:174(getwidth)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/copy.py:263(<genexpr>)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:164(__getitem__)
        4    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/copy.py:200(_deepcopy_list)
       36    0.000    0.000    0.000    0.000 {built-in method _json.encode_basestring_ascii}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:872(_resolve_name)
      2/1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/json/encoder.py:204(iterencode)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/codecs.py:309(__init__)
        1    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/_utils.py:250(_validate_loaded_sparse_tensors)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/copyreg.py:90(__newobj__)
        1    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/serialization.py:547(_check_dill_version)
        1    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/serialization.py:408(_is_path)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/pathlib.py:718(__str__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._log_api_usage_metadata}
        3    0.000    0.000    0.000    0.000 {built-in method torch.get_default_dtype}
        3    0.000    0.000    0.000    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/configuration_utils.py:407(_attn_implementation)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/genericpath.py:27(isfile)
