Profiling load_model_state_dict...
         219349 function calls (196033 primitive calls) in 87.281 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/sre_parse.py:97(closegroup)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/pathlib.py:755(as_posix)
       13    0.000    0.000    0.000    0.000 /usr/lib/python3.9/sre_parse.py:173(append)
        2    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/serialization.py:361(_check_dill_version)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.9/json/encoder.py:277(_iterencode_list)
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/sre_compile.py:456(_generate_overlap_table)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/enum.py:977(__and__)
        2    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/serialization.py:240(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/pathlib.py:742(__str__)
        3    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/transformers/configuration_utils.py:420(<dictcomp>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/codecs.py:319(decode)
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/storage.py:277(<dictcomp>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/sre_parse.py:433(_uniq)
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/serialization.py:1154(UnpicklerWrapper)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.9/posixpath.py:41(_get_sep)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/urllib/parse.py:122(_coerce_args)
        1    0.000    0.000    0.000    0.000 /home/venv/lib/python3.9/site-packages/torch/serialization.py:1074(_get_restore_location)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/sre_parse.py:225(__init__)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.9/sre_parse.py:287(tell)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/enum.py:358(__call__)
        2    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/_collections_abc.py:409(__subclasshook__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/json/encoder.py:259(_make_iterencode)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:948(_sanity_check)
       16    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/sre_parse.py:85(opengroup)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.9/sre_parse.py:250(match)
        2    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:218(_acquireLock)
        1    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/sre_compile.py:447(_simple)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.9/sre_parse.py:161(__len__)
